,x,y,month,id
0,1.25,51,2011-01-08,254153
0,0.75,52,2011-01-10,230566
0,1.0,52,2011-01-10,156369
0,1.25,52,2011-01-10,163842
0,0.75,53,2011-01-10,285444
0,1.0,53,2011-01-10,64588
0,1.25,53,2011-01-10,145074
0,0.75,54,2011-01-10,285602
0,1.0,54,2011-01-10,226831
0,1.25,54,2011-01-10,161447
0,0.75,55,2011-01-10,247693
0,1.0,55,2011-01-10,70624
0,1.25,55,2011-01-10,120462
0,0.75,56,2011-01-10,163084
0,1.0,56,2011-01-10,228139
0,1.25,56,2011-01-10,133547
0,0.75,57,2011-01-10,125133
0,1.0,57,2011-01-10,888
0,1.25,57,2011-01-10,74115
0,0.75,58,2011-01-10,274735
0,1.0,58,2011-01-10,139334
0,1.25,58,2011-01-10,108702
0,0.75,59,2011-01-10,10745
0,1.0,59,2011-01-10,221973
0,1.25,59,2011-01-10,81200
0,0.75,60,2011-01-10,238859
0,1.0,60,2011-01-10,58069
0,1.25,60,2011-01-10,29541
0,0.75,61,2011-01-11,175452
0,1.0,61,2011-01-11,120355
0,1.25,61,2011-01-12,283513
0,0.75,62,2011-01-12,217819
0,1.0,62,2011-01-12,157762
0,1.25,62,2011-01-12,210098
0,0.75,63,2011-01-13,245318
0,1.0,63,2011-01-13,278986
0,1.25,63,2011-01-13,162099
0,0.75,64,2011-01-14,141240
0,1.0,64,2011-01-14,157056
0,1.25,64,2011-01-14,204954
0,0.75,65,2011-01-14,208158
0,1.0,65,2011-01-14,96153
0,1.25,65,2011-01-14,99169
0,0.75,66,2011-01-14,54655
0,1.0,66,2011-01-14,249015
0,1.25,66,2011-01-14,51905
0,0.75,67,2011-01-14,40674
0,1.0,67,2011-01-14,136972
0,1.25,67,2011-01-15,179630
0,0.75,68,2011-01-15,183596
0,1.0,68,2011-01-15,167957
0,1.25,68,2011-01-15,2322
0,0.75,69,2011-01-15,64221
0,1.0,69,2011-01-15,189617
0,1.25,69,2011-01-17,19160
0,0.75,70,2011-01-17,145251
0,1.0,70,2011-01-17,73891
0,1.25,70,2011-01-17,249012
0,0.75,71,2011-01-17,66681
0,1.0,71,2011-01-17,212289
0,1.25,71,2011-01-17,139303
0,0.75,72,2011-01-17,122879
0,1.0,72,2011-01-17,264890
0,1.25,72,2011-01-17,154050
0,0.75,73,2011-01-17,169652
0,1.0,73,2011-01-17,91584
0,1.25,73,2011-01-18,29472
0,0.75,74,2011-01-19,67958
0,1.0,74,2011-01-19,246614
0,1.25,74,2011-01-20,267305
0,0.75,75,2011-01-20,56633
0,1.0,75,2011-01-20,72955
0,1.25,75,2011-01-20,172103
0,0.75,76,2011-01-20,27670
0,1.0,76,2011-01-20,235581
0,1.25,76,2011-01-20,71266
0,0.75,77,2011-01-20,218535
0,1.0,77,2011-01-20,190084
0,1.25,77,2011-01-21,193558
0,0.75,78,2011-01-21,232437
0,1.0,78,2011-01-21,178316
0,1.25,78,2011-01-21,145677
0,0.75,79,2011-01-24,258004
0,1.0,79,2011-01-24,228017
0,1.25,79,2011-01-24,242007
0,0.75,80,2011-01-24,29729
0,1.0,80,2011-01-24,273259
0,1.25,80,2011-01-24,20985
0,0.75,81,2011-01-24,285695
0,1.0,81,2011-01-24,153882
0,1.25,81,2011-01-25,29398
0,0.75,82,2011-01-25,230578
0,1.0,82,2011-01-25,159357
0,1.25,82,2011-01-27,36262
0,0.75,83,2011-01-27,115711
0,1.0,83,2011-01-28,256359
0,1.25,83,2011-01-29,121599
0,0.75,84,2011-01-30,75829
0,1.75,0,2011-02-01,144791
0,2.0,0,2011-02-01,227587
0,2.25,0,2011-02-01,249798
0,1.75,1,2011-02-01,265975
0,2.0,1,2011-02-01,152824
0,2.25,1,2011-02-01,70778
0,1.75,2,2011-02-01,76020
0,2.0,2,2011-02-01,136051
0,2.25,2,2011-02-01,134853
0,1.75,3,2011-02-01,104713
0,2.0,3,2011-02-01,217141
0,2.25,3,2011-02-01,19235
0,1.75,4,2011-02-01,52648
0,2.0,4,2011-02-01,67730
0,2.25,4,2011-02-01,107324
0,1.75,5,2011-02-01,156674
0,2.0,5,2011-02-01,86302
0,2.25,5,2011-02-01,94528
0,1.75,6,2011-02-01,279555
0,2.0,6,2011-02-01,217003
0,2.25,6,2011-02-01,270032
0,1.75,7,2011-02-01,202690
0,2.0,7,2011-02-01,1992
0,2.25,7,2011-02-01,179444
0,1.75,8,2011-02-01,94941
0,2.0,8,2011-02-01,32748
0,2.25,8,2011-02-01,57532
0,1.75,9,2011-02-01,83214
0,2.0,9,2011-02-01,68207
0,2.25,9,2011-02-01,144336
0,1.75,10,2011-02-01,4624
0,2.0,10,2011-02-01,186624
0,2.25,10,2011-02-01,18079
0,1.75,11,2011-02-01,180464
0,2.0,11,2011-02-01,72673
0,2.25,11,2011-02-01,276967
0,1.75,12,2011-02-01,41938
0,2.0,12,2011-02-01,225503
0,2.25,12,2011-02-01,180203
0,1.75,13,2011-02-01,267346
0,2.0,13,2011-02-01,62356
0,2.25,13,2011-02-01,4465
0,1.75,14,2011-02-01,128397
0,2.0,14,2011-02-01,149867
0,2.25,14,2011-02-01,148200
0,1.75,15,2011-02-01,150310
0,2.0,15,2011-02-01,183378
0,2.25,15,2011-02-01,135879
0,1.75,16,2011-02-01,68540
0,2.0,16,2011-02-01,282030
0,2.25,16,2011-02-01,132823
0,1.75,17,2011-02-01,188674
0,2.0,17,2011-02-01,26284
0,2.25,17,2011-02-01,115128
0,1.75,18,2011-02-01,4230
0,2.0,18,2011-02-01,75557
0,2.25,18,2011-02-01,129751
0,1.75,19,2011-02-01,207078
0,2.0,19,2011-02-01,92622
0,2.25,19,2011-02-01,98304
0,1.75,20,2011-02-01,208906
0,2.0,20,2011-02-01,6892
0,2.25,20,2011-02-01,247475
0,1.75,21,2011-02-01,166537
0,2.0,21,2011-02-01,228872
0,2.25,21,2011-02-01,245475
0,1.75,22,2011-02-01,118195
0,2.0,22,2011-02-01,168477
0,2.25,22,2011-02-01,18699
0,1.75,23,2011-02-01,267163
0,2.0,23,2011-02-01,172445
0,2.25,23,2011-02-01,159889
0,1.75,24,2011-02-01,202729
0,2.0,24,2011-02-01,184975
0,2.25,24,2011-02-01,159642
0,1.75,25,2011-02-01,243015
0,2.0,25,2011-02-01,269297
0,2.25,25,2011-02-01,263499
0,1.75,26,2011-02-01,255131
0,2.0,26,2011-02-01,137884
0,2.25,26,2011-02-01,239652
0,1.75,27,2011-02-01,227851
0,2.0,27,2011-02-01,222470
0,2.25,27,2011-02-01,114032
0,1.75,28,2011-02-01,245547
0,2.0,28,2011-02-01,262747
0,2.25,28,2011-02-01,120678
